bie_from;bie_to;bgstat;hdl_id;srt_bufgrp_id;scrn_bufgrp_id
CIR1;E;E ;3;21;41
CIR1;F;E ;3;21;41
CIR1;H;E ;3;21;41
CIR11;A;E ;1;1;41
CIR11;A;E ;2;2;41
CIR11;A;E ;4;2;41
CIR11;B;E ;1;10;41
CIR11;C;E ;1;10;41
CIR11;B;E ;2;11;41
CIR11;C;E ;2;11;41
CIR11;B;E ;4;11;41
CIR11;C;E ;4;11;41
CIR11;A;E ;3;21;41
CIR11;B;E ;3;21;41
CIR11;C;E ;3;21;41
CIR11;D;E ;3;21;41
CIR11;E;E ;3;21;41
CIR11;F;E ;3;21;41
CIR11;H;E ;3;21;41
CIR11;E;E ;1;32;41
CIR11;E;E ;2;32;41
CIR11;E;E ;4;32;41
CIR11;F;E ;1;35;41
CIR11;F;E ;2;35;41
CIR11;F;E ;4;35;41
CIR11;D;E ;1;38;41
CIR11;H;E ;1;38;41
CIR11;D;E ;2;38;41
CIR11;H;E ;2;38;41
CIR11;D;E ;4;38;41
CIR11;H;E ;4;38;41
CIR2;A;E ;1;1;41
CIR2;A;E ;2;2;41
CIR2;A;E ;4;2;41
CIR2;B;E ;1;10;41
CIR2;C;E ;1;10;41
CIR2;D;E ;1;10;41
CIR2;E;E ;1;10;41
CIR2;F;E ;1;10;41
CIR2;H;E ;1;10;41
CIR2;B;E ;2;11;41
CIR2;C;E ;2;11;41
CIR2;D;E ;2;11;41
CIR2;E;E ;2;11;41
CIR2;F;E ;2;11;41
CIR2;H;E ;2;11;41
CIR2;B;E ;4;11;41
CIR2;C;E ;4;11;41
CIR2;D;E ;4;11;41
CIR2;E;E ;4;11;41
CIR2;F;E ;4;11;41
CIR2;H;E ;4;11;41
CIR2;A;E ;3;21;41
CIR2;B;E ;3;21;41
CIR2;C;E ;3;21;41
CIR2;D;E ;3;21;41
CIR2;E;E ;3;21;41
CIR2;F;E ;3;21;41
CIR2;H;E ;3;21;41
CIR3;A;E ;1;1;41
CIR3;A;E ;2;2;41
CIR3;A;E ;4;2;41
CIR3;B;E ;1;10;41
CIR3;C;E ;1;10;41
CIR3;D;E ;1;10;41
CIR3;E;E ;1;10;41
CIR3;F;E ;1;10;41
CIR3;H;E ;1;10;41
CIR3;B;E ;2;11;41
CIR3;C;E ;2;11;41
CIR3;D;E ;2;11;41
CIR3;E;E ;2;11;41
CIR3;F;E ;2;11;41
CIR3;H;E ;2;11;41
CIR3;B;E ;4;11;41
CIR3;C;E ;4;11;41
CIR3;D;E ;4;11;41
CIR3;E;E ;4;11;41
CIR3;F;E ;4;11;41
CIR3;H;E ;4;11;41
CIR3;A;E ;3;21;41
CIR3;B;E ;3;21;41
CIR3;C;E ;3;21;41
CIR3;D;E ;3;21;41
CIR3;E;E ;3;21;41
CIR3;F;E ;3;21;41
CIR3;H;E ;3;21;41
CIR4;A;E ;1;1;41
CIR4;A;E ;2;2;41
CIR4;C;E ;2;2;41
CIR4;A;E ;4;2;41
CIR4;C;E ;4;2;41
CIR4;B;E ;1;10;41
CIR4;C;E ;1;10;41
CIR4;D;E ;1;10;41
CIR4;E;E ;1;10;41
CIR4;F;E ;1;10;41
CIR4;H;E ;1;10;41
CIR4;B;E ;2;11;41
CIR4;D;E ;2;11;41
